,cnpj,raiz_cnpj,matriz_filial,razao_social,opcao_pelo_simples,capital_social
679,37557582000111,37557582,MATRIZ,MOTTA E MOTTA SERVICOS DE TECNOLOGIA E CONSULTORIA LTDA,SIM,228000
680,37612212000130,37612212,MATRIZ,R & A CONSULTORIA LTDA,SIM,10000
682,37658745000152,37658745,MATRIZ,ALFA TECH COMERCIO E SERVICO LTDA,SIM,1000
683,37671084000103,37671084,MATRIZ,IOTRIXX SOLUCOES EM INFORMATICA E COMUNICACAO LTDA,SIM,60000
684,37915955000189,37915955,MATRIZ,TYPHOON HIL (BR) CONSULTORIA E TREINAMENTO DE SOFTWARE LTDA,SIM,10000
685,37989501000152,37989501,MATRIZ,DM CLOUD & DEVOPS SERVICOS DE TECNOLOGIA LTDA,SIM,1000
686,38007294000156,38007294,MATRIZ,G&D TECNOLOGIA DA INFORMACAO LTDA,SIM,10000
687,38026554000130,38026554,MATRIZ,ALVO SYSTEM LTDA,SIM,3000
689,38045543000106,38045543,MATRIZ,MERAKI CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,SIM,10000
690,38143840000186,38143840,MATRIZ,TBMP CONSULTORIA DA INFORMACAO LTDA,SIM,2000
693,38475698000174,38475698,MATRIZ,HOLDING KIND OUTSIDERS LTDA,SIM,1000
694,38535151000117,38535151,MATRIZ,INSIGHT SERVICOS DE CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,SIM,1000
696,38560722000173,38560722,MATRIZ,WR CONSULT LTDA,SIM,10000
697,38597881000142,38597881,MATRIZ,X.DIGITAL BRASIL SEGURANCA DA INFORMACAO LTDA,SIM,250000
698,38731500000176,38731500,MATRIZ,ACTA TECH SERVICOS DE CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,SIM,12000
701,39331535000180,39331535,MATRIZ,PRUX SOLUCOES DIGITAIS LTDA,SIM,1000
702,39355783000161,39355783,MATRIZ,BERGOLD TECH CONSULTORIA EIRELI,SIM,200000
703,39416257000164,39416257,MATRIZ,INTEPEX SOLUCOES LTDA,SIM,25000
704,39456186000123,39456186,MATRIZ,MICHELLI DA SILVA COSTA,SIM,10000
705,39469328000197,39469328,MATRIZ,MIVA TECNOLOGIA LTDA,SIM,20000
706,39473671000105,39473671,MATRIZ,CLARISSA CECCHIN CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,SIM,5000
707,39485326000191,39485326,MATRIZ,R & R ALVES DA SILVA CONSULTORIA LTDA,SIM,30000
709,39565812000110,39565812,MATRIZ,REZENA TI LTDA,SIM,10000
711,39781465000162,39781465,MATRIZ,PORTODEV CONSULTORIA E TECNOLOGIA LTDA,SIM,1000
712,39836609000130,39836609,MATRIZ,BIODATA CONSULTORIA EM AVALIACAO GENETICA E CIENCIA DE DADOS LTDA.,SIM,40000
713,39937682000107,39937682,MATRIZ,PATERA INC TECNOLOGIA DA INFORMACAO LTDA,SIM,1000
714,39951337000110,39951337,MATRIZ,LAB OF CODES SOLUCOES DIGITAIS LTDA,SIM,1000
715,40019793000105,40019793,MATRIZ,MAASLO CONSULTORIA LTDA,SIM,10000
716,40093823000123,40093823,MATRIZ,FRANZONI CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,SIM,1500
717,40188443000172,40188443,MATRIZ,CSMA SERVICOS DE AUTOMACAO LTDA,SIM,0
718,40194256000100,40194256,MATRIZ,ERUTRON TECNOLOGIA LTDA,SIM,50000
719,40240560000138,40240560,MATRIZ,C. GERLING,SIM,15000
720,40279046000106,40279046,MATRIZ,RKPINHEIRO LTDA,SIM,1000
723,40499259000143,40499259,MATRIZ,DOUGLAS MARTINS CONSULTORIA DE TECNOLOGIA DA INFORMACAO LTDA,SIM,1000
724,40510812000100,40510812,MATRIZ,CECHET SOFTWARE SOLUTIONS LTDA,SIM,10000
725,40513322000159,40513322,MATRIZ,BAHDEV SERVICOS DE CONSULTORIA DE TI LTDA,SIM,1000
726,40572288000193,40572288,MATRIZ,VHL CONSULTORIA EM TI LTDA,SIM,10000
727,40589359000160,40589359,MATRIZ,N N SIEMIATKOWSKI CONSULTORIA LTDA,SIM,1000
729,40654924000126,40654924,MATRIZ,DATA POCKET CONSULTORIA INTERDISCIPLINAR LTDA,SIM,3000
730,40672980000193,40672980,MATRIZ,APETIS CONSULTORIA LTDA,SIM,5000
731,40706960000196,40706960,MATRIZ,MONTEIRO CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,SIM,1000
732,40751154000130,40751154,MATRIZ,RUAN GERVASI LTDA,SIM,10000
733,40840011000102,40840011,MATRIZ,PUERARI SEGURANCA DA INFORMACAO LTDA,SIM,1000
736,40879374000143,40879374,MATRIZ,TOOLS CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,SIM,5000
737,40894681000101,40894681,MATRIZ,LLB SOLUCOES EM MULTIMIDIA LTDA,SIM,1000
738,40909361000170,40909361,MATRIZ,C XAVIER DA SILVA - CONSULTORIA,SIM,10000
739,40942231000139,40942231,MATRIZ,VELVET DESENVOLVIMENTO DE SOFTWARE LTDA,SIM,20000
740,40999862000194,40999862,MATRIZ,EVERTON SILVA ROSA CONSULTORIA,SIM,1000
741,41011151000122,41011151,MATRIZ,L&S CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,SIM,10000
742,41013081000141,41013081,MATRIZ,CASSIANO FORMOLO,SIM,100
744,41069952000149,41069952,MATRIZ,HELIX LABORATORIES DESENVOLVIMENTO DE PROGRAMAS DE COMPUTADOR LTDA,SIM,1000
745,41132023000137,41132023,MATRIZ,CYNC TECNOLOGIA LTDA,SIM,1000
746,41138337000147,41138337,MATRIZ,GLA. SOLUTIONS LTDA,SIM,15000
747,41249650000152,41249650,MATRIZ,BIOSAT AGRICULTURA DE PRECISAO LTDA,SIM,1200
748,41273734000121,41273734,MATRIZ,HD DEVFORCE LTDA,SIM,10000
749,41368252000155,41368252,MATRIZ,REVIRAVOLTA LOCAL COMUNICACAO E TECNOLOGIA LTDA.,SIM,10000
750,41400372000192,41400372,MATRIZ,PRESSER CONSULTORIA E DESENVOLVIMENTO DE PROGRAMAS DE COMPUTADOR LTDA,SIM,1000
753,56350820000168,56350820,MATRIZ,VON BARANOW INFORMATICA LTDA,SIM,50000
762,80095243000190,80095243,MATRIZ,COMPCENTER INFORMATICA LTDA,SIM,0
763,80921489000173,80921489,MATRIZ,MAPTRIZ CONSULTORIA E TECNOLOGIA LTDA,SIM,500000
766,81530685000180,81530685,MATRIZ,JEFERSON PINHEIRO BERNARDO E CIA LTDA,SIM,30000
772,85398345000106,85398345,MATRIZ,HOLISTIC - CONSULTORIA LTDA,SIM,0
773,85516912000173,85516912,MATRIZ,VALMELL SISTEMAS E SERVICOS DE INFORMATICA LTDA,SIM,0
775,86861804000109,86861804,MATRIZ,SADI RICARDO DREWS & CIA LTDA,SIM,0
776,86954351000157,86954351,MATRIZ,COMPULOGICA SISTEMAS DE INFORMATICA LTDA,SIM,0
778,91229039000130,91229039,MATRIZ,SERRANA INFORMATICA LTDA,SIM,0
790,95844288000197,95844288,MATRIZ,BOABASE CONSULTORIA E SISTEMAS LTDA,SIM,0
